referral_id,referrer_id,referee_id,referral_source,referral_source_category,referral_at,transaction_id,transaction_status,transaction_type,reward_value,description,is_reward_granted,is_business_logic_valid
d452feec722a5cabc03645bb089e2735,cbac8ed440d53d1c6c187874c4193db2,08b8ab0371b6a0cb79319628505c446c,Lead,Lead,2024-03-20 07:48:49+00:00,7709d17eaec03665f58904b72c8ab444,,,,,,False
d452feec722a5cabc03645bb089e2735,cbac8ed440d53d1c6c187874c4193db2,08b8ab0371b6a0cb79319628505c446c,Lead,Lead,2024-03-20 07:48:49+00:00,7709d17eaec03665f58904b72c8ab444,,,,,,False
d452feec722a5cabc03645bb089e2735,cbac8ed440d53d1c6c187874c4193db2,08b8ab0371b6a0cb79319628505c446c,Lead,Lead,2024-03-20 07:48:49+00:00,7709d17eaec03665f58904b72c8ab444,,,,,,False
a95d6a6cefee850333bb2df257cb2f79,ac7437a85f72bcef29088bf148e05eb7,d0f7a95f117a5b084ea18a2fcdeb543e,Draft Transaction,Offline,2024-05-21 09:47:11+00:00,0ad3f929bef2f8177db401bba99a6692,,NEW,,,False,False
6a585aa172036ab3cda99023016c7bff,nan,70a65c322094af912c370e526613fcfb,Draft Transaction,Offline,2024-05-02 14:59:57+00:00,d3d0530307725b26e4bac8d6ec2072d8,,REJOIN,,,,False
678d8990730250f8001c25a7da8f05d4,93128ee70cc2e95bc632eb73f472213d,c6fb4aa67eba0ed851ac4182abe26127,User Sign Up,Online,2024-03-08 11:31:24+00:00,7709d17eaec03665f58904b72c8ab444,,,,,False,False
1f44ffca9257eefe62892409bce4b704,nan,9fb1542469c6ae6c5378727d8c0bdf21,Draft Transaction,Offline,2024-05-03 02:00:59+00:00,bd02c54aeca60d0e82f784be0ad4c84d,,NEW,,,,False
7bf019d6eec0fc5f6485fb4d1968fe80,4acfa96cb521b6963b50bcef95bee485,b64ce1531c508d3090a76ae678647f20,Lead,Lead,2024-05-22 08:47:24+00:00,nan,,,,,,False
7bf019d6eec0fc5f6485fb4d1968fe80,4acfa96cb521b6963b50bcef95bee485,b64ce1531c508d3090a76ae678647f20,Lead,Lead,2024-05-22 08:47:24+00:00,nan,,,,,,False
7bf019d6eec0fc5f6485fb4d1968fe80,4acfa96cb521b6963b50bcef95bee485,b64ce1531c508d3090a76ae678647f20,Lead,Lead,2024-05-22 08:47:24+00:00,nan,,,,,,False
7bf019d6eec0fc5f6485fb4d1968fe80,4acfa96cb521b6963b50bcef95bee485,b64ce1531c508d3090a76ae678647f20,Lead,Lead,2024-05-22 08:47:24+00:00,nan,,,,,,False
7bf019d6eec0fc5f6485fb4d1968fe80,4acfa96cb521b6963b50bcef95bee485,b64ce1531c508d3090a76ae678647f20,Lead,Lead,2024-05-22 08:47:24+00:00,nan,,,,,,False
7bf019d6eec0fc5f6485fb4d1968fe80,4acfa96cb521b6963b50bcef95bee485,b64ce1531c508d3090a76ae678647f20,Lead,Lead,2024-05-22 08:47:24+00:00,nan,,,,,,False
7bf019d6eec0fc5f6485fb4d1968fe80,4acfa96cb521b6963b50bcef95bee485,b64ce1531c508d3090a76ae678647f20,Lead,Lead,2024-05-22 08:47:24+00:00,nan,,,,,,False
d0c11363fa2754323ed04ddbd0681bfb,4acfa96cb521b6963b50bcef95bee485,c8c0461f1332b25809ff6ae01444d7f5,User Sign Up,Online,2024-04-30 13:54:15+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
d0c11363fa2754323ed04ddbd0681bfb,4acfa96cb521b6963b50bcef95bee485,c8c0461f1332b25809ff6ae01444d7f5,User Sign Up,Online,2024-04-30 13:54:15+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
d0c11363fa2754323ed04ddbd0681bfb,4acfa96cb521b6963b50bcef95bee485,c8c0461f1332b25809ff6ae01444d7f5,User Sign Up,Online,2024-04-30 13:54:15+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
d0c11363fa2754323ed04ddbd0681bfb,4acfa96cb521b6963b50bcef95bee485,c8c0461f1332b25809ff6ae01444d7f5,User Sign Up,Online,2024-04-30 13:54:15+00:00,da0071e2bb7794ac19ff4dbbb6e772f0,,,,,,False
